"bacino_idrografico","corso_d_acqua","corpo_idrico","provincia","comune","coord_x","coord_y","codice_stazione","data_campionamento","parametro","valore_testuale","cas","wise","other","unita_di_misura","formula_parametro","unita_di_misura_testuale","segno","valore_numerico","anno"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","574903.0","5063200","N0080600061lo1","2018-03-05","(MCPA) Acido 2,4 meticlorofenossi acetico","<0,03","94-74-6",,,"µg/l",,"microgrammi per litro","<","3","2018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","574903.0","5063200","N0080600061lo1","2018-03-05","2,4,5-T","<0,03","93-76-5",,,"µg/l",,"microgrammi per litro","<","3","2018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","574903.0","5063200","N0080600061lo1","2018-03-05","2,4-Dicofol","<0,01",,,"10606-46-9","µg/l",,"microgrammi per litro","<","1","2018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","574903.0","5063200","N0080600061lo1","2018-03-05","Acetamiprid","<0,009",,,"135410-20-7","µg/l",,"microgrammi per litro","<","9","2018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","574903.0","5063200","N0080600061lo1","2018-03-05","Acido 2,4 diclorofenossi acetico (2,4 D)","<0,03","94-75-7",,,"µg/l",,"microgrammi per litro","<","3","2018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","574903.0","5063200","N0080600061lo1","2018-03-05","Aclonifen","<0,03",,,"74070-46-5","µg/l",,"microgrammi per litro","<","3","2018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","574903.0","5063200","N0080600061lo1","2018-03-05","Alachlor","<0,02",,,"15972-60-8","µg/l",,"microgrammi per litro","<","2","2018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","574903.0","5063200","N0080600061lo1","2018-03-05","Alcalinità","318",,,"71-52-3","mg/l","CaHCO32","milligrammi per litro",,"318","2018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","574903.0","5063200","N0080600061lo1","2018-03-05","Aldrin","<0,01",,,"309-00-2","µg/l",,"microgrammi per litro","<","1","2018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","574903.0","5063200","N0080600061lo1","2018-03-05","Ametrina","<0,01",,,"834-12-8","µg/l",,"microgrammi per litro","<","1","2018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","574903.0","5063200","N0080600061lo1","2018-06-05","Portata","0,279",,,"CAM-PRT-0","m³/s",,"metro cubo al secondo",,"279","2018"
"ADDA SUBLACUALE","Sonna (Torrente)","IT03N0080011752LO","BG","PONTIDA","534953","5064790","N0080011752lo1","2018-06-04","Altezza idrometrica","0,4",,,"ALT-00-0","m",,"metro",,"4","2018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG",A"DRARA SAN ROCCO","574903.0","5063200","N0080600061lo1","2018-06-05","Solidi sospesi totali","4",,"WISE 31-02-7",,"mg/l",,"milligrammi per litro",,"4","2018"
"OGLIO SUBLACUALE","Guerna (Torrente)","IT03N0080600061LO","BG","ADRARA SAN ROCCO","574903.0","5063200","N0080600061lo1","2018-09-12","Durezza (totale)","217",,,"CASID20001","mg/l","CaCO3","milligrammi per litro",,"217","2018"
"MELLA","Mella (Fiume)","IT03N0080600083LO","BS","VILLA CARCINA","593484","5053850","N0080600083lo1","2018-03-19","Portata","5,35",,,"CAM-PRT-0","m³/s",,"metro cubo al secondo",,"535","2018"
