"Regione","Provincia","Comune","Codice Sito","Nome Sito","LONG ","LAT ","Data ","Ostreopsis cf. ovata","Ostreopsis cf. ovata ","","",""
"","","","","","","",""," cell/l","cell/ g fw","","",""
"Sardegna","Sassari","Porto Torres","MYPT","Acque Dolci ","8.4144444444444","40.839444444444","6/15/2020","690","28571","","",""
"Sardegna","Sassari","Porto Torres","MYPT","Acque Dolci ","8.4144444444444","40.839444444444","6/29/2020","12320","345111","","",""
"Sardegna","Sassari","Porto Torres","MYPT","Acque Dolci ","8.4144444444444","40.839444444444","7/13/2020","2340","203518","","",""
"Sardegna","Sassari","Porto Torres","MYPT","Acque Dolci ","8.4144444444444","40.839444444444","7/27/2020","6330","6594","","",""
"Sardegna","Sassari","Porto Torres","MYPT","Acque Dolci ","8.4144444444444","40.839444444444","8/10/2020","790","93070","","",""
"Sardegna","Sassari","Porto Torres","MYPT","Acque Dolci ","8.4144444444444","40.839444444444","8/24/2020","0","22501","","",""
"Sardegna","Sassari","Porto Torres","MYPT","Acque Dolci ","8.4144444444444","40.839444444444","9/21/2020","760","39881","","",""
"Sardegna","Sassari","Alghero","MYAL","Las Tronas - El Trò - spiaggia ","8.3183333333333","40.551111","7/15/2020","5200","/","","",""
"Sardegna","Sassari","Alghero","MYAL","Las Tronas - El Trò - spiaggia ","8.3183333333333","40.551111","7/20/2020","2400","/","","",""
"Sardegna","Sassari","Alghero","MYAL","Las Tronas - El Trò - spiaggia ","8.3183333333333","40.551111","7/27/2020","160","/","","",""
"Sardegna","Sassari","Alghero","MYAL","Las Tronas - Il Riservato","8.3180555","40.1905444","6/15/2020","120","4288","","",""
"Sardegna","Sassari","Alghero","MYAL","Las Tronas - Il Riservato","8.3180555","40.1905444","6/29/2020","5720","/","","",""
"Sardegna","Sassari","Alghero","MYAL","Las Tronas - Il Riservato","8.3180555","40.1905444","7/13/2020","32000","246591","","",""
"Sardegna","Sassari","Alghero","MYAL","Las Tronas - Il Riservato","8.3180555","40.1905444","7/15/2020","24400","/","","",""
"Sardegna","Sassari","Alghero","MYAL","Las Tronas - Il Riservato","8.3180555","40.1905444","7/20/2020","42500","76882","","",""
"Sardegna","Sassari","Alghero","MYAL","Las Tronas - Il Riservato","8.3180555","40.1905444","7/27/2020","410","7601","","",""
"Sardegna","Sassari","Alghero","MYAL","Las Tronas - Il Riservato","8.3180555","40.1905444","8/10/2020","40","320","","",""
"Sardegna","Sassari","Alghero","MYAL","Las Tronas - Il Riservato","8.3180555","40.1905444","8/24/2020","0","3655","","",""
"Sardegna","Sassari","Alghero","MYAL","Las Tronas - Il Riservato","8.3180555","40.1905444","9/21/2020","800","15879","","",""
"Sardegna","Sassari","Alghero","MYAL","MYAL Il Riservato rocce _Alghero","8.317222","40.5519444","7/15/2020","207000","/","","",""
"Sardegna","Sassari","Alghero","MYAL","MYAL Il Riservato rocce _Alghero","8.317222","40.5519444","7/20/2020","7720","/","","",""
"Sardegna","Sassari","Alghero","MYAL","MYAL Il Riservato rocce _Alghero","8.317222","40.5519444","7/27/2020","3180","/","","",""
"Sardegna","Sassari","Castelsardo","MYCS","La Marina","8.7075","40.839444444444","6/15/2020","0","0","","",""
"Sardegna","Sassari","Castelsardo","MYCS","La Marina","8.7075","40.914166666667","6/29/2020","90","1447","","",""
"Sardegna","Sassari","Castelsardo","MYCS","La Marina","8.7075","40.914166666667","7/13/2020","260","54233","","",""
"Sardegna","Sassari","Castelsardo","MYCS","La Marina","8.7075","40.914166666667","7/27/2020","19600","396245","","",""
"Sardegna","Sassari","Castelsardo","MYCS","La Marina","8.7075","40.914166666667","8/3/2020","400","/","","",""
"Sardegna","Sassari","Castelsardo","MYCS","La Marina","8.7075","40.914166666667","8/10/2020","430","8014","","",""
"Sardegna","Sassari","Castelsardo","MYCS","La Marina","8.7075","40.914166666667","8/24/2020","0","3975","","",""
"Sardegna","Sassari","Castelsardo","MYCS","La Marina","8.7075","40.914166666667","9/21/2020","0","1551","","",""
"Sardegna","Cagliari","Cagliari","MYCA","Calamosca","9.1530555555556","39.185555555556","6/9/2020","0","377","","",""
"Sardegna","Cagliari","Cagliari","MYCA","Calamosca","9.1530555555556","39.185555555556","7/7/2020","340","2247","","",""
"Sardegna","Cagliari","Cagliari","MYCA","Calamosca","9.1530555555556","39.185555555556","8/4/2020","40","769","","",""
"Sardegna","Cagliari","Cagliari","MYCA","Calamosca","9.1530555555556","39.185555555556","9/7/2020","1250","17000","","",""
"Sardegna","Cagliari","Pula","MYNO","Su Guventeddu","9.0148","38.9892","6/17/2020","70","548","","",""
"Sardegna","Cagliari","Pula","MYNO","Su Guventeddu","9.0148","38.9892","7/16/2020","310","1480","","",""
"Sardegna","Cagliari","Pula","MYNO","Su Guventeddu","9.0148","38.9892","8/19/2020","60","506","","",""
"Sardegna","Cagliari","Pula","MYNO","Su Guventeddu","9.0148","38.9892","9/15/2020","120","476","","",""
